,X,y,Weight
29,"The sentiment surrounding the future performance of Southwest Gas Holdings appears optimistic. The company reported record EPS and increased dividend, showing strong financial performance. Furthermore, the company anticipates robust customer growth and an aggressive capital campaign, indicating a positive outlook for future earnings. However, concerns about the impact of tax reform, increased pension expenses, and uncertainties in regulatory proceedings might slightly temper the overall optimistic sentiment.",-0.0140,"[(0, 0.4442715), (1, 0.44460735), (2, 0.11112112)]"
30,"The sentiment surrounding the future performance of the company appears positive. There is a strong sense of optimism regarding the company's results and strategic direction. The mention of strong growth in sales management, favorable market dynamics, and successful execution of strategies contributes to an overall positive outlook.",-0.0048,"[(0, 0.7592791), (1, 0.111146055), (2, 0.12957488)]"
31,"The sentiment surrounding the future performance of the company appears optimistic. The strong quarter with higher sales across all regions, improved margins, and raised profit outlook reflect confidence in the company's financial performance. The positive changes to operating profit, higher sales volume, and favorable price realization contribute to an optimistic outlook, despite some concerns about increasing material costs and period costs. The overall sentiment leans towards optimism rather than cautiousness.",-0.0101,"[(0, 0.11764598), (1, 0.11111846), (2, 0.7712356)]"
32,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding cost-saving measures and product launches, concerns about rising expenses and uncertainties in legal matters contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",-0.0748,"[(0, 0.08340091), (1, 0.08339629), (2, 0.83320284)]"
33,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding cost-saving measures and product launches, concerns about rising expenses and uncertainties in legal matters contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",0.0210,"[(0, 0.12300448), (1, 0.116228476), (2, 0.76076704)]"
34,"The sentiment surrounding the future performance of the company appears cautious. Concerns about revenue projections, sustained lease expenses, and the impact of inflation on pricing strategies contribute to a cautious outlook. There is uncertainty regarding revenue targets and sustainability of expenses, urging a cautious stance rather than outright optimism.",-0.0128,"[(0, 0.5833717), (1, 0.33007964), (2, 0.08654862)]"
35,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding the progress in Europe and the Asia Pacific segment, as well as the ongoing transformation efforts in the North America/HME segment, there are concerns about the losses incurred in the IPG segment and the ongoing impact of the consent decree from the FDA. The company is cautiously optimistic about improvements in gross margins and the effectiveness of the sales transformation, but external uncertainties such as foreign currency fluctuations and reimbursement pressures are causing a more cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",-0.0926,"[(0, 0.7777521), (1, 0.11112631), (2, 0.11112161)]"
36,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding potential margin improvement, fleet investment, and accretive acquisitions, there are concerns about management of new geographies, uncertainties in legal matters, and potential guarding businesses that may not fit the core strategy. Overall, the sentiment leans slightly towards caution rather than outright optimism, especially considering the uncertainties in legal matters and potential divestitures.",0.0357,"[(0, 0.111134216), (1, 0.777736), (2, 0.111129776)]"
37,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding potential solutions and the time available to address challenges, concerns about compliance with the Gainful Employment Regulation and the potential impact on the institution's eligibility for loans contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",-0.1065,"[(0, 0.4263539), (1, 0.083372936), (2, 0.49027318)]"
38,"The sentiment surrounding the future performance of the company appears positive. The company has seen positive performance in Q1 and Q2, particularly in the footwear and apparel categories, with a focus on evolving product offerings and store allocations. The impact of the minimum wage increase in California has been considered and factored into future projections, indicating a proactive approach to managing cost implications. Overall, the sentiment leans towards a positive outlook, with a focus on continued progress and growth.",0.0864,"[(0, 0.111118644), (1, 0.7777645), (2, 0.11111681)]"
39,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding cost-saving measures and product launches, concerns about rising expenses and uncertainties in legal matters contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",0.0293,"[(0, 0.111119576), (1, 0.77587754), (2, 0.11300291)]"
40,"The sentiment surrounding the future performance of the company appears optimistic. The company's first-quarter results reflect organic growth in its diverse business segments and international projects. The successful activation of facilities and new contracts indicate positive momentum. The financial performance is strong with increased revenues and operational efficiency. The company reaffirmed its full-year guidance, indicating confidence in future performance.",-0.0175,"[(0, 0.83328974), (1, 0.08335827), (2, 0.08335196)]"
41,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding potential upside from larger transmission opportunities and the electric segment operating solidly in the double-digit range, concerns about headwinds, softness in the Canadian market, challenges in the oil and gas segment, and uncertainties in legal matters contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism, with a potential for margin pressure and a degree of prudency in overall execution.",-0.0211,"[(0, 0.8227266), (1, 0.08340361), (2, 0.09386983)]"
42,"The sentiment surrounding the future performance of the company appears uncertain. There are concerns about rising costs of beverages and appetizers, as well as uncertainties about the impact of external factors such as alcohol prices, soft drink trends, and DUI incidents. Additionally, there is ambiguity regarding the company's ability to navigate debt obligations and its market position. Overall, the sentiment is characterized by a sense of unsureness and lack of clear direction.",-0.1237,"[(0, 0.4324471), (1, 0.4466367), (2, 0.120916165)]"
43,"The sentiment surrounding the future performance of the company appears cautious. The company points out recent softer trends, making them more cautious for the rest of the year. The focus on cost-saving measures and uncertainties in legal matters may contribute to this cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",-0.0437,"[(0, 0.08384755), (1, 0.52322865), (2, 0.3929238)]"
44,"The sentiment surrounding the future performance of the company appears cautious. Concerns about project delays, unpredictability, and challenges in forecasting revenue contribute to a cautious outlook. While there are positive international opportunities in markets like India and signs of improvement in certain regions, the overall sentiment leans towards caution rather than outright optimism, especially considering the uncertainties related to government positions, market conditions, and industry-specific challenges.",-0.0191,"[(0, 0.11149383), (1, 0.11144782), (2, 0.77705836)]"
45,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding cost-saving measures and product launches, concerns about rising expenses and uncertainties in legal matters contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",-0.0203,"[(0, 0.11141371), (1, 0.77727383), (2, 0.11131245)]"
46,"The sentiment surrounding the future performance of the company appears cautious. Concerns about lower production, decreased fed balances, and the impact of lower oil prices contribute to a cautious outlook. Additionally, uncertainties in legal matters and the potential effects of declining margins in the trust department also contribute to a slightly cautious sentiment rather than outright optimism.",-0.0035,"[(0, 0.11133115), (1, 0.11131939), (2, 0.7773495)]"
47,"The sentiment surrounding the future performance of the company appears positive. The company has shown strong performance with broad-based volume growth and disciplined expenses, leading to double-digit net adjusted EPS growth. Additionally, the company has new initiatives in the works and a focus on acquiring new global customers. Despite potential concerns about regulatory challenges and M&A activity, the overall sentiment leans towards optimism and the potential to beat expectations.",0.0070,"[(0, 0.7773735), (1, 0.111357644), (2, 0.111268826)]"
48,"The sentiment surrounding the future performance of the company appears positive. The company reported growth in net earnings, FFO, and AFFO for the quarter and year-end 2017. Despite their cautious approach to borrowings and a conservative leverage, they expressed confidence in executing their growth strategy throughout 2018. Overall, the sentiment leans slightly towards optimism rather than caution.",0.0538,"[(0, 0.111118704), (1, 0.77776444), (2, 0.11111684)]"
49,"The sentiment surrounding the future performance of the company appears cautious. While there is talk of acquisitions and progress in certain areas, there are also mentions of disappointment and uncertainties in European operations. The focus on balancing pricing, mix, and uncertainties in legal matters contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",0.0152,"[(0, 0.111890234), (1, 0.7613382), (2, 0.12677163)]"
50,"The sentiment surrounding the future performance of the company appears cautious. Concerns about uncertainties in various markets, including Brazil, and the impact of global events on business operations contribute to a cautious outlook. While there are positive aspects such as acquisitions and revenue growth from certain areas, the overall sentiment leans towards caution rather than optimism.",-0.0157,"[(0, 0.444547), (1, 0.111134656), (2, 0.44431835)]"
51,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding cost-saving measures and efficiency ratio, there are concerns about credit management due to the impact of Hanjin bankruptcy and the migration of individual credits. The company anticipates a decrease in efficiency ratio in the fourth quarter and aims to achieve mid to low 40% range in the next year, after completing cost cuts. Overall, there is a cautious outlook due to uncertainties related to credit migration and the impact of unusual activities on the provision.",0.0012,"[(0, 0.44256237), (1, 0.44614756), (2, 0.11129009)]"
52,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding improving macro indicators and market sentiment for 2017, concerns about weaker-than-anticipated demand, competitive pricing pressures, and potential delays in federal highway funding contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",-0.0004,"[(0, 0.1117641), (1, 0.7765818), (2, 0.1116541)]"
53,"The sentiment surrounding the future performance of the company appears uncertain. The speaker mentions a selective and opportunistic approach to capital allocation, without a clear focus on specific lines of business. The hesitancy and lack of precision in discussing financial figures contribute to an uncertain outlook. Additionally, the conservative approach to setting picks for new policies and the need for corrections in providing accurate numbers indicate a lack of confidence in future financial performance. Overall, the sentiment leans towards uncertainty rather than optimism or caution.",-0.0027,"[(0, 0.11122944), (1, 0.7775781), (2, 0.11119246)]"
54,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding cost-saving measures and product launches, concerns about rising expenses and uncertainties in legal matters contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",-0.0166,"[(0, 0.11199803), (1, 0.11700943), (2, 0.7709925)]"
55,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism about the importance of the company's towers and potential for portfolio growth, there are concerns about the economic viability and feasibility of certain technologies outside of dense urban markets. Moreover, discussions about potential growth in the Western Hemisphere are balanced with reservations about lower growth yield-type assets in European markets. Overall, the sentiment leans slightly towards caution rather than outright optimism.",0.0224,"[(0, 0.11198838), (1, 0.11196233), (2, 0.7760493)]"
56,"The sentiment surrounding the future performance of the company appears optimistic. The company has reported record sales, positive comparable store sales, and improved financial and operational efficiency. The CEO expresses confidence in achieving targets and growing long-term value, while the CFO reaffirms the company's outlook and expects further improvement in profitability.",-0.0156,"[(0, 0.11112972), (1, 0.11112826), (2, 0.777742)]"
57,"The sentiment surrounding the future performance of the company appears cautious. While there is cautious optimism about managing expenses, securing royalty payments, and continuing to pursue amicable resolutions, concerns about future revenue streams, challenges with patent licensing, and uncertainties in legal proceedings contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",-0.0023,"[(0, 0.7776778), (1, 0.11116487), (2, 0.111157395)]"
58,"The sentiment surrounding the future performance of the company appears mixed. While there is cautious optimism regarding new product launches and cost management, concerns about declining revenues and economic uncertainties contribute to a mixed outlook. Overall, the sentiment leans slightly towards caution with a hint of pessimism.",0.0102,"[(0, 0.111278914), (1, 0.44349864), (2, 0.44522244)]"
59,"The sentiment surrounding the future performance of the company appears optimistic. The company highlights strong leasing activity, increased occupancy levels, and positive financial results. Key financial indicators, such as net operating income growth and improved debt-to-EBITDA ratio, reflect a positive outlook. Despite some concerns about debt and professional fees, the overall sentiment leans towards optimism regarding the company's future performance.",0.0195,"[(0, 0.11181641), (1, 0.44384536), (2, 0.4443382)]"
60,"The sentiment surrounding the future performance of the company appears positive. The company exceeded expectations in revenue, operating margin, EPS, and operating cash flow for the second quarter. Additionally, the company is increasing its revenue and EPS outlook for fiscal 2017, demonstrating confidence in its future performance. While there are concerns about variability in results due to the increasing portion of hardware and IP in the business, the overall sentiment leans towards positivity.",0.0448,"[(0, 0.111118734), (1, 0.77776444), (2, 0.11111686)]"
61,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding the transition to the new CableOS platform and the performance of the digital video business, concerns about the softening Cable Edge demand and lower gross margin in the Cable Edge business contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",0.1721,"[(0, 0.44477326), (1, 0.44408855), (2, 0.111138225)]"
62,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding revenue growth and cost management, concerns about potential negative impacts on demand due to higher prices and a slowdown in growth compared to normal seasonality result in a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",0.0292,"[(0, 0.11116697), (1, 0.77768314), (2, 0.11114987)]"
63,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding potential improvements in consumer demand and the potential for economic growth, concerns about the softness in industrial business tied to the energy industry contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright positivity.",-0.0085,"[(0, 0.08379087), (1, 0.08621132), (2, 0.8299978)]"
64,"The sentiment surrounding the future performance of Trustmark appears cautious. While there is optimism regarding loan growth and revenue generation, concerns about nonroutine items affecting net income, expenses, and credit quality contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",0.0040,"[(0, 0.06826919), (1, 0.06673137), (2, 0.8649994)]"
65,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding cost-saving measures and product launches, concerns about rising expenses and uncertainties in legal matters contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",0.0056,"[(0, 0.11176831), (1, 0.11127946), (2, 0.7769522)]"
66,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding cost-saving measures and product launches, concerns about rising expenses and uncertainties in legal matters contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",-0.0891,"[(0, 0.38822338), (1, 0.08336561), (2, 0.52841103)]"
67,"The sentiment surrounding the future performance of the company appears cautious. While there are mentions of progress and improvements in margins and product launches, there is also acknowledgment of the challenges and uncertainties in revamping the supplier and the impact on margins. The overall sentiment leans towards caution with a recognition of potential improvements but lingering uncertainties.",-0.0623,"[(0, 0.11766151), (1, 0.11111824), (2, 0.77122027)]"
68,"The sentiment surrounding the future performance of the company appears cautious. There is discussion about the expected moderation in percentage growth, but the product's competitiveness is expected to remain strong. Additionally, there is optimism about gaining a disproportionate share of new business from captives in the direct marketplace. However, the anticipation of continued performance at similar levels suggests a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",0.0188,"[(0, 0.111146286), (1, 0.34028238), (2, 0.54857135)]"
69,"The sentiment surrounding the future performance of the company appears positive. The management expresses pride in the team for their patient care, indicating confidence in the company's ability to deliver. The reference to future earnings calls implies an optimistic outlook for the company's performance.",-0.0090,"[(0, 0.11116142), (1, 0.44451636), (2, 0.44432226)]"
70,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding cost-saving measures and product launches, concerns about rising expenses and uncertainties in legal matters contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",-0.0079,"[(0, 0.77774096), (1, 0.111131), (2, 0.111127995)]"
71,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding the strategic decisions to exit E&P and refining, which are expected to reduce volatility and exposure to commodity prices, there are concerns about economic risks and indirect exposure in certain markets. The overall sentiment leans more towards caution than outright optimism, particularly regarding the potential impact on the company's financial performance.",0.0034,"[(0, 0.8227151), (1, 0.08340361), (2, 0.09388127)]"
72,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding cost-saving measures and product launches, concerns about declining markets, competition, and uncertainties in market share contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",-0.0671,"[(0, 0.083525345), (1, 0.8306998), (2, 0.08577486)]"
73,"The sentiment surrounding the future performance of the company appears cautious. While there are indications of growth in certain regions and categories, the overall sentiment is influenced by factors such as margin compression, softness in certain markets, and anticipated softer first quarter performance. The company's outlook is affected by currency fluctuations and partner program changes, resulting in a relatively cautious sentiment towards future financial performance.",-0.0450,"[(0, 0.089055635), (1, 0.8272977), (2, 0.083646655)]"
74,"The sentiment surrounding the future performance of the company appears optimistic. The earnings call highlights strong revenue and earnings growth, setting Company records for both metrics. Additionally, the outlook emphasizes ongoing margin improvement and controlled growth, instilling confidence in the company's financial performance. Despite challenges in managing expansion and potential regulatory uncertainties, the overall sentiment leans towards optimism for beating expectations.",0.0032,"[(0, 0.7771137), (1, 0.11146624), (2, 0.111420065)]"
75,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding the acquisition of Byram Healthcare and the potential growth it offers, concerns about underperformance in certain segments, cost pressures, and the impact of industry consolidation contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",0.0030,"[(0, 0.4614879), (1, 0.4609839), (2, 0.077528164)]"
76,"The sentiment surrounding the future performance of the company appears positive. The company has achieved strong financial results, with growth in net sales, gross profit margins, and favorable adjustments to the effective tax rate. The management's emphasis on operational execution and strategic investments reflects confidence in the company's performance outlook, leading to an upgrade in the adjusted EPS guidance. Overall, the sentiment leans towards optimism rather than caution or negativity.",-0.0033,"[(0, 0.117564924), (1, 0.11115112), (2, 0.7712839)]"
77,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding the long term growth potential and continued expansion, concerns about potential recessionary periods, tough comparables, and uncertainties in future investments contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism, particularly due to potential challenges in the future.",-0.0104,"[(0, 0.6626275), (1, 0.16885102), (2, 0.16852148)]"
78,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding cost-saving measures and product launches, concerns about rising expenses and uncertainties in legal matters contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",0.0192,"[(0, 0.66262954), (1, 0.16884927), (2, 0.16852115)]"
79,"The sentiment surrounding the future performance of the company appears mixed. While there is optimism regarding the record sales and operating profit, concerns about gross margin fluctuations due to currency effects and uncertainty about future expenses and investments contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution with a mixture of optimism and concerns.",0.1366,"[(0, 0.1694384), (1, 0.16935268), (2, 0.66120887)]"
80,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding incremental progress in behavioral revenues and an expectation of recovery in subsequent years, concerns about labor shortages resulting in increased expenses and difficulties in achieving significant synergies from acquisitions lead to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",-0.0217,"[(0, 0.1689907), (1, 0.66242814), (2, 0.16858119)]"
81,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding cost-saving measures and product launches, concerns about rising expenses and uncertainties in legal matters contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",-0.0189,"[(0, 0.11111871), (1, 0.77776444), (2, 0.11111686)]"
82,"The sentiment surrounding the future performance of the company appears cautious. While there is optimism regarding cost-saving measures and product launches, concerns about rising expenses and uncertainties in legal matters contribute to a cautious outlook. Overall, the sentiment leans slightly towards caution rather than outright optimism.",0.0523,"[(0, 0.7774777), (1, 0.11126599), (2, 0.111256346)]"
